	name	rating(out of 5)	rating_count	delivery_fee	min_order	delivery_option	food
98	Kitchen Cuisine - Lahore			Free delivery	No minimum		['Cupcakes', 'Ice Cream', 'Sweets', 'Chicken', 'Desserts', 'Sandwiches', 'Pizza', 'Cakes & Bakery']
99	Cafe Solasta	3.4	9.0	Free delivery	No minimum	foodpanda delivery	['Fast Food', 'Pizza', 'Seafood', 'Pakistani']
100	Bagh - The Desi Experience			Free delivery	No minimum	foodpanda delivery	['BBQ', 'Curry', 'Ice Cream Shakes', 'Juices', 'Paratha', 'Karahi', 'Tea', 'Pakistani']
101	Uncle Tetsu - てつおじさん			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Beverage', 'Desserts', 'Healthy', 'Japanese', 'Cakes & Bakery']
102	Subway - Central	3.8	599.0	Free delivery	No minimum	Restaurant Own delivery	['Chicken', 'Fast Food', 'Meat', 'Salad', 'Super Discount', 'American', 'Healthy', 'Sandwiches', 'Vegetarian', 'Fast Food']
103	Howdy - Lahore	4.3	916.0	Free delivery	No minimum	Restaurant Own delivery	['Chicken', 'Meat', 'Steaks', 'Super Discount', 'Beverage', 'Asian']
104	Grab Your Meal			Free delivery	No minimum	foodpanda delivery	[]
105	Moocs			Free delivery	No minimum	foodpanda delivery	['Pasta', 'Salad', 'Soup', 'Steaks', 'Asian', 'Beverage', 'Burgers', 'Desserts', 'Pizza', 'Sandwiches', 'European']
106	Mozzarella 27	4.1	39.0	Free delivery	No minimum	foodpanda delivery	['Beverage', 'Pizza']
107	Cafe Aylanto	4.0	89.0	Free delivery	No minimum		['Fast Food', 'Meat', 'Beverage', 'Burgers', 'American']
108	Frozi	4.0	2.0	Free delivery	No minimum	foodpanda delivery	['Ice Cream', 'Super Discount', 'Desserts']
109	Dessert Desire			Free delivery	No minimum	foodpanda delivery	['Burgers', 'Pizza', 'Desserts']
110	Ice Curl - Giga Mall	4.6	5.0	Free delivery	No minimum		['Desserts']
111	Liu's Kim Mun Chinese by Hsin Kuang	4.0	1.0	Free delivery	No minimum	foodpanda delivery	['Chicken', 'Fish', 'Rice', 'Soup', 'Beverage', 'Seafood', 'Chinese']
112	The Kitchen - Bistro . Boulangerie . Patisserie			Free delivery	No minimum	foodpanda delivery	['Fast Food', 'Italian', 'Pizza']
113	Submarine	3.8	50.0	Free delivery	No minimum	foodpanda delivery	['Healthy', 'Vegetarian', 'Sandwiches']
114	Pizza City - Gulberg 3	3.8	115.0	Free delivery	No minimum	foodpanda delivery	['Chicken', 'Fast Food', 'Meat', 'Pizza']
115	Meer Sweets & Bakers - Peoples Colony	4.3	37.0	Free delivery	No minimum		['Fast Food', 'Sandwiches', 'Pizza']
116	Tuscany - Gulberg 2	3.9	77.0	Free delivery	No minimum	foodpanda delivery	['Chinese', 'Desserts', 'Italian', 'Sandwiches', 'Seafood', 'Pizza']
117	Wasabi	4.5	2.0	Free delivery	No minimum	foodpanda delivery	['Super Discount', 'Pakistani', 'Fast Food']
118	Antique Cafe			Free delivery	No minimum	foodpanda delivery	['Noodles', 'Pasta', 'Soup', 'Tea', 'Steaks', 'Beverage', 'Burgers', 'Desserts', 'Pizza', 'Seafood', 'American']
119	nando	4.2	852.0	Free delivery	No minimum	Restaurant Own delivery	['Chicken', 'Meat', 'Rice', 'Salad', 'Spicy', 'Afro-Portuguese', 'Burgers', 'Desserts', 'International']
120	The Coffee Shop by Wasabi - Gulberg			Free delivery	No minimum	foodpanda delivery	['Super Discount', 'Burgers', 'Chinese', 'Vietnamese', 'Seafood']
121	Burger Corner	3.5	62.0	Free delivery	No minimum	foodpanda delivery	['Pakistani']
122	Clifton Grill	4.1	10.0	Free delivery	No minimum	foodpanda delivery	['BBQ', 'Fast Food', 'Karahi', 'Tandoor', 'Super Discount', 'Burgers', 'Chinese', 'Fast Food', 'Italian', 'Pizza', 'Sandwiches', 'Pakistani']
